127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000477
127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000926
127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/css/calendar.css, HTTP/1.1, 200, 0.000443
127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/js/calendar.js, HTTP/1.1, 200, 0.000822
127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/js/jquery.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/js/web2py.js, HTTP/1.1, 200, 0.000634
127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000452
127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2017-03-20 09:04:43, GET, /control_inventario_dw/static/js/share.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2017-03-20 09:04:44, GET, /control_inventario_dw/static/images/background.jpg, HTTP/1.1, 200, 0.000368
127.0.0.1, 2017-03-20 09:04:44, GET, /control_inventario_dw/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000354
127.0.0.1, 2017-03-20 09:04:44, GET, /control_inventario_dw/static/images/twitter.png, HTTP/1.1, 200, 0.000516
127.0.0.1, 2017-03-20 09:04:44, GET, /control_inventario_dw/static/images/facebook.png, HTTP/1.1, 200, 0.000305
127.0.0.1, 2017-03-20 09:04:44, GET, /control_inventario_dw/static/images/gplus-32.png, HTTP/1.1, 200, 0.000511
127.0.0.1, 2017-03-20 09:04:44, GET, /control_inventario_dw/static/images/favicon.ico, HTTP/1.1, 200, 0.000462
127.0.0.1, 2017-03-20 09:05:00, GET, /control_inventario_dw/default/user/login, HTTP/1.1, 200, 0.035140
127.0.0.1, 2017-03-20 09:05:05, GET, /control_inventario_dw/default/user/register, HTTP/1.1, 200, 0.037857
127.0.0.1, 2017-03-20 09:05:17, POST, /control_inventario_dw/default/user/register, HTTP/1.1, 303, 0.399799
127.0.0.1, 2017-03-20 09:05:17, GET, /control_inventario_dw/default/index, HTTP/1.1, 200, 0.037118
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/default/edit/control_inventario_dw/models/menu.py, HTTP/1.1, 200, 0.043141
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000868
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000994
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001165
127.0.0.1, 2017-03-20 09:06:09, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000524
